HH Profile_ID,14Q_Scheme,Q01_Income_C,Q02_Occupation,Q03_Position,RQ04_School,Q09_Electricity bill_C,Q10_Nb_Members,Q11_Phone brand,RQ13_Hospital,Q15_Home ownership,Q16_Urban type,RQ17_Residency,Q18_Properties,Q19_Private insurance,Q20_Loan type
21,Scheme 3,84000000,Làm nông,Không có / Chức vụ khác,Class 7,380000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
22,Scheme 1,204000000,Công chức nhà nước,Quản lý cấp trung,Class 6,1300000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 2 / 3,Sở hữu Căn hộ cao cấp,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào
23,Scheme 3,96000000,Làm nông,Không có / Chức vụ khác,Không,423000,4,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
24,Scheme 1,252000000,"Nhân viên văn phòng cho cty lớn, doanh nghiệp đa quốc gia",Không có / Chức vụ khác,Không,1482000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay tiêu dùng
25,Scheme 1,300000000,Khác,Nhân viên,Không,600000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Có,Không có bất kỳ khoản vay nào
28,Scheme 3,60000000,Khác,Không có / Chức vụ khác,Không,917000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 2 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào
30,Scheme 1,403302000,Công nhân nhà máy,Không có / Chức vụ khác,Không,800000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - 2 / 3,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
31,Scheme 1,170524800,Bán buôn tự do,Không có / Chức vụ khác,Class 7,1708000,3,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác
32,Scheme 3,287271000,Công chức nhà nước,Không có / Chức vụ khác,Không,205000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
35,Scheme 3,66000000,Làm nông,Không có / Chức vụ khác,Class 7,137000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Có,Không có bất kỳ khoản vay nào
38,Scheme 2,117600000,Công chức nhà nước,Quản lý cấp trung,Không,1138000,3,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
41,Scheme 1,240000000,Bán buôn tự do,Chủ doanh nghiệp,Không,575000,3,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà của nhiều hộ gia đình,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
42,Scheme 3,138000000,Khác,Nhân viên,Không,658000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
44,Scheme 2,136200000,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Không,652000,3,Apple,Class 3,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác
47,Scheme 3,145200000,Lao động tự do,Nhân viên,Không,150000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
52,Scheme 3,72000000,Lao động tự do,Không có / Chức vụ khác,Class 7,459000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
53,Scheme 2,98400000,Khác,Nhân viên,Không,2254000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
54,Scheme 3,108091200,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Không,480000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào
56,Scheme 1,305002800,Công chức nhà nước,Không có / Chức vụ khác,Không,1811000,3,Apple,Class 4,Có,Class - 2 / 3,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
58,Scheme 2,212400000,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Không,908000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Thuê Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Có,Có khoản vay khác
59,Scheme 1,190022400,Nhân viên văn phòng cho cty vừa và nhỏ,Không có / Chức vụ khác,Không,997000,3,Apple,Class 4,Có,Class - 2 / 3,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
60,Scheme 3,107124000,Làm nông,Không có / Chức vụ khác,Không,383000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
61,Scheme 1,240000000,Bán buôn tự do,Không có / Chức vụ khác,Không,642000,3,Apple,Class 1,Có,Class - 2 / 3,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
62,Scheme 2,72000000,Lao động tự do,Nhân viên,Class 7,912000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
63,Scheme 3,60000000,Khác,Không có / Chức vụ khác,Không,512000,3,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
64,Scheme 3,120000000,Làm nông,Không có / Chức vụ khác,Class 7,145000,2,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Có khoản vay khác
65,Scheme 1,196734000,Lao động tự do,Không có / Chức vụ khác,Không,1050000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào
66,Scheme 3,24000000,Công nhân nhà máy,Không có / Chức vụ khác,Không,896000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác
67,Scheme 1,180000000,Công chức nhà nước,Nhân viên,Class 7,3457000,3,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác
68,Scheme 2,120000000,Bán buôn tự do,Không có / Chức vụ khác,Không,1414000,4,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay tiêu dùng
70,Scheme 1,192000000,Công chức nhà nước,Không có / Chức vụ khác,Class 7,1010000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Có,Không có bất kỳ khoản vay nào
71,Scheme 3,229400400,"Nhân viên văn phòng cho cty lớn, doanh nghiệp đa quốc gia",Nhân viên,Class 7,547000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản vay mua nhà, mua ô tô"
72,Scheme 3,230072400,Nghỉ hưu,Không có / Chức vụ khác,Không,275000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
73,Scheme 3,0,Lao động tự do,Nhân viên,Không,638000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Thuê Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
74,Scheme 2,132000000,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Class 7,885000,>4,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
75,Scheme 3,72000000,Làm nông,Không có / Chức vụ khác,Không,331000,2,Samsung / Vivo / OPPO,Class 1,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
76,Scheme 3,60696000,Nghỉ hưu,Không có / Chức vụ khác,Không,304000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
77,Scheme 1,312000000,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Không,1505000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
80,Scheme 3,84000000,Lao động tự do,Không có / Chức vụ khác,Class 7,626000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào
82,Scheme 2,264000000,Lao động tự do,Không có / Chức vụ khác,Không,273000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào
83,Scheme 3,34146000,Nghỉ hưu,Không có / Chức vụ khác,Không,263000,3,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - 2 / 3,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
84,Scheme 3,72000000,Lao động tự do,Không có / Chức vụ khác,Class 6,434000,2,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay tiêu dùng
88,Scheme 2,216000000,Công nhân nhà máy,Nhân viên,Class 5,669000,4,Apple,Class 3,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
89,Scheme 3,150000000,Khác,Không có / Chức vụ khác,Không,532000,3,Apple,Class 4,Không,Class - Special / 1,Thuê Phòng trọ,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
90,Scheme 3,69600000,Làm nông,Không có / Chức vụ khác,Không,500000,3,"Khác (Xiaomi, Realme, ...)",Class 4,Không,Class - 4 / 5,Thuê Phòng trọ,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
91,Scheme 1,135600000,Công chức nhà nước,Không có / Chức vụ khác,Class 7,858000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
92,Scheme 2,204000000,Lao động tự do,Không có / Chức vụ khác,Không,620000,2,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
93,Scheme 3,122551200,Nghỉ hưu,Không có / Chức vụ khác,Không,230000,>4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
94,Scheme 3,120000000,Công nhân nhà máy,Nhân viên,Class 7,230000,4,Apple,Class 4,Có,Class - 2 / 3,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay tiêu dùng
95,Scheme 3,55200000,Làm nông,Không có / Chức vụ khác,Class 7,233000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào
97,Scheme 2,216000000,"Nhân viên văn phòng cho cty lớn, doanh nghiệp đa quốc gia",Nhân viên,Không,880000,3,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
98,Scheme 1,336000000,Bán buôn tự do,Không có / Chức vụ khác,Không,744000,4,Apple,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
99,Scheme 2,132000000,Nghỉ hưu,Không có / Chức vụ khác,Không,1587000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Thuê Căn hộ chung cư,Sở hữu 1 ngôi nhà khác,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
103,Scheme 1,258000000,Nhân viên văn phòng cho cty vừa và nhỏ,Nhân viên,Class 7,1684000,2,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
104,Scheme 3,51000000,Làm nông,Không có / Chức vụ khác,Không,21000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
105,Scheme 2,192912000,Lao động tự do,Không có / Chức vụ khác,Không,1172000,>4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
106,Scheme 2,144000000,Nhân viên văn phòng cho cty vừa và nhỏ,Không có / Chức vụ khác,Class 7,1136000,>4,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
108,Scheme 1,418056000,Khác,Nhân viên,Class 7,730000,>4,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
109,Scheme 2,136608000,Lao động tự do,Không có / Chức vụ khác,Class 7,489000,4,Apple,Class 1,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
110,Scheme 2,114300000,Công chức nhà nước,Quản lý cấp trung,Class 6,830000,4,Apple,Class 1,Có,Class - Special / 1,Sở hữu Căn hộ chung cư,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
111,Scheme 3,56160000,Lao động tự do,Không có / Chức vụ khác,Không,188000,2,"Khác (Xiaomi, Realme, ...)",Class 4,Không,Class - Special / 1,Thuê Căn hộ chung cư,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay tiêu dùng
112,Scheme 1,317676000,Khác,Nhân viên,Không,1153000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
113,Scheme 3,72000000,Khác,Không có / Chức vụ khác,Không,310000,3,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
115,Scheme 1,132000000,Khác,Quản lý cấp trung,Không,1126000,3,Apple,Class 4,Có,Class - 2 / 3,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay khác
116,Scheme 2,84000000,Lao động tự do,Không có / Chức vụ khác,Class 7,941000,2,Apple,Class 4,Có,Class - 2 / 3,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào
117,Scheme 1,204000000,Lao động tự do,Không có / Chức vụ khác,Class 5,1192000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác
119,Scheme 2,120091200,Khác,Nhân viên,Không,853000,4,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
120,Scheme 3,96000000,Lao động tự do,Không có / Chức vụ khác,Không,1628000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
121,Scheme 3,148561200,Lao động tự do,Không có / Chức vụ khác,Không,235000,3,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay khác
122,Scheme 1,283080000,Lao động tự do,Nhân viên,Class 7,668000,2,Samsung / Vivo / OPPO,Class 4,Không,Class - Special / 1,Thuê Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Có,Không có bất kỳ khoản vay nào
123,Scheme 1,169130400,Khác,Nhân viên,Class 6,916000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay khác
125,Scheme 3,72000000,Lao động tự do,Không có / Chức vụ khác,Không,291000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
129,Scheme 3,36000000,Làm nông,Không có / Chức vụ khác,Class 7,436000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào
131,Scheme 3,233109600,Nhân viên văn phòng cho cty vừa và nhỏ,Không có / Chức vụ khác,Class 5,447000,4,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
132,Scheme 3,129064800,Nghỉ hưu,Không có / Chức vụ khác,Không,37000,>4,Samsung / Vivo / OPPO,Class 4,Có,Class - 2 / 3,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
133,Scheme 3,167082000,Lao động tự do,Không có / Chức vụ khác,Không,573000,3,Apple,Class 4,Không,Class - Special / 1,Thuê Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
134,Scheme 3,132000000,Khác,Không có / Chức vụ khác,Class 7,699000,4,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
135,Scheme 1,324000000,Khác,Nhân viên,Không,1379000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
136,Scheme 3,96000000,Khác,Không có / Chức vụ khác,Class 7,450000,4,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - 2 / 3,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Có khoản vay khác
137,Scheme 3,148359600,Lao động tự do,Không có / Chức vụ khác,Class 6,270000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
138,Scheme 1,307200000,Lao động tự do,Nhân viên,Không,1400000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Thuê Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
139,Scheme 1,132000000,Công chức nhà nước,Không có / Chức vụ khác,Class 7,843000,4,Apple,Class 1,Có,Class - 2 / 3,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào
141,Scheme 1,252000000,Nghỉ hưu,Không có / Chức vụ khác,Không,2000000,2,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Sở hữu 1 ngôi nhà khác,Không,Không có bất kỳ khoản vay nào
142,Scheme 2,312000000,Lao động tự do,Không có / Chức vụ khác,Không,350000,4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà phố nhỏ,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
143,Scheme 3,132000000,Làm nông,Không có / Chức vụ khác,Không,562000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - 4 / 5,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,"Có khoản nợ tín dụng, nợ học phí, nợ viện phí"
144,Scheme 3,96000000,Làm nông,Không có / Chức vụ khác,Class 5,511000,3,"Khác (Xiaomi, Realme, ...)",Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Có khoản vay tiêu dùng
146,Scheme 3,96000000,Lao động tự do,Không có / Chức vụ khác,Không,337000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
147,Scheme 3,23100000,Nghỉ hưu,Không có / Chức vụ khác,Không,599000,3,Samsung / Vivo / OPPO,Class 4,Có,Class - Special / 1,Sở hữu Nhà tập thể,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
151,Scheme 3,207516000,Lao động tự do,Không có / Chức vụ khác,Không,364000,>4,Apple,Class 4,Không,Class - 2 / 3,Thuê Nhà ở nông thôn,Không sở hữu ngôi nhà thứ hai,Không,Không có bất kỳ khoản vay nào
152,Scheme 2,216000000,Công chức nhà nước,Nhân viên,Class 7,1200000,>4,Apple,Class 4,Có,Class - Special / 1,Sở hữu Nhà ở nông thôn,Sở hữu 1 ngôi nhà khác,Có,Không có bất kỳ khoản vay nào
