Application ID,Long,Lat,Coordination,Address
124,0,0,"0,0","Thủ Đức,Hồ Chí Minh"
125,0,0,"0,0","Bỉm Sơn,Thanh Hóa"
126,0,0,"0,0","Sơn La,Sơn La"
127,105.8279425,21.01695347,"105.82794246690595,21.016953470372393","Đống Đa,Hà Nội"
128,105.4361,10.3874,"105.4361,10.3874","Long Xuyên,An Giang"
129,105.8588662,21.0041038,"105.8588662,21.0041038","Hương Sơn,Hà Tĩnh"
130,0,0,"0,0","Hạ Long,Quảng Ninh"
131,0,0,"0,0","Thị Xã Từ Sơn,Bắc Ninh"
132,104.0025655,22.4408282,"104.0025655,22.4408282","Thị Xã Sa Pa,Lào Cai"
133,0,0,"0,0","HBT,Hà Nội"
134,0,0,"0,0","Gia Lâm,Hà Nội"
135,106.6851884,10.8069017,"106.6851884,10.8069017","Bình Thạnh,Hồ Chí Minh"
136,106.1893613,21.3115252,"106.1893613,21.3115252","Bắc Giang,Bắc Giang"
137,105.8672371,20.99942303,"105.86723709237529,20.999423028077306","Đống Đa,Hà Nội"
138,108.2445296,16.0309007,"108.2445296177976,16.030900698271367","Ngũ Hành Sơn,Đà Nẵng"
139,108.1208,10.9398,"108.1208,10.9398","Phan Thiết,Bình Thuận"
140,106.6717014,10.81380039,"106.67170141891008,10.813800386636533","Phan Rang-Tháp Chàm,Ninh Thuận"
141,106.7277508,10.7886524,"106.7277508,10.7886524","2,Hồ Chí Minh"
142,106.6454129,10.84533201,"106.64541294545499,10.845332013446361","Gò Vấp,Hồ Chí Minh"
143,0,0,"0,0","Yên Mỹ,Hưng Yên"
144,114.1211136,22.3182848,"114.1211136,22.3182848","Đan Phượng,Hà Nội"
145,0,0,"0,0","Gò Vấp,Hồ Chí Minh"
146,0,0,"0,0","Hạ Long,Quảng Ninh"
147,0,0,"0,0","Hạ Long,Quảng Ninh"
148,105.8706139,20.99251376,"105.87061388328365,20.992513759164183","Hoàn Kiếm,Hà Nội"
149,105.7983403,20.9971149,"105.7983403,20.9971149","Ninh Bình,Ninh Bình"
150,0,0,"0,0","Hà Đông,Hà Nội"
151,105.5965676,21.3277049,"105.5965676,21.3277049","Vĩnh Yên,Vĩnh Phúc"
152,107.0777036,20.96275897,"107.07770364281919,20.96275896718093","Hạ Long,Quảng Ninh"
153,0,0,"0,0","Thanh Trì,Hà Nội"
154,0,0,"0,0","Bù Đăng,Bình Phước"
155,105.9959461,20.01875745,"105.99594614570695,20.018757448084244","Nga Sơn,Thanh Hóa"
156,105.7846922,20.98170829,"105.78469220984984,20.98170829372964","Hưng Hà,Thái Bình"
157,105.920506,20.54108133,"105.92050604099819,20.541081333676814","Phủ Lý,Hà Nam"
158,0,0,"0,0","Gò Vấp,Hồ Chí Minh"
159,105.8453457,21.0023499,"105.8453457,21.0023499","HBT,Hà Nội"
160,0,0,"0,0","Thủy Nguyên,Hải Phòng"
161,105.8164829,21.0195298,"105.8164829,21.0195298","Cầu Giấy,Hà Nội"
162,105.7772988,21.0331391,"105.77729882646088,21.033139102064325","Cầu Giấy,Hà Nội"
163,0,0,"0,0","Đông Anh,Hà Nội"
164,105.5671324,21.295197,"105.5671324,21.295197","Lập Thạch,Vĩnh Phúc"
165,105.4799917,19.03743991,"105.47999172416095,19.037439905968792","Yên Thành,Nghệ An"
166,0,0,"0,0","Thị Xã Sơn Tây,Hà Nội"
167,106.6826,20.8567,"106.6826,20.8567","Kiến Thụy,Hải Phòng"
168,0,0,"0,0","Vinh,Nghệ An"
169,105.8126414,21.04117812,"105.81264138272742,21.041178124004794","Lào Cai,Lào Cai"
170,0,0,"0,0","12,Hồ Chí Minh"
171,0,0,"0,0","Đông Anh,Hà Nội"
172,106.7184653,10.7324254,"106.7184653,10.7324254","Vĩnh Long,Vĩnh Long"
173,0,0,"0,0","Tân Bình,Hồ Chí Minh"
174,105.8683297,21.05650549,"105.86832974963394,21.056505489972178","Long Biên,Hà Nội"
175,0,0,"0,0","Lạng Giang,Bắc Giang"
176,106.6953734,10.74340109,"106.69537341478653,10.743401089825333","7,Hồ Chí Minh"
177,0,0,"0,0","Thuỷ Nguyên,Hải Phòng"
178,105.8572233,21.0018471,"105.8572233,21.0018471","Hai Bà Trưng,Hà Nội"
179,105.8696756,20.99145217,"105.86967556694601,20.99145217252284","Hoàn Kiếm,Hà Nội"
180,105.8042797,21.0278692,"105.8042797153497,21.027869199968485","Bắc Từ Liêm,Hà Nội"
181,0,0,"0,0","Nha Trang,Khánh Hòa"
182,0,0,"0,0","Long Biên,Hà Nội"
183,0,0,"0,0","Ninh Bình,Ninh Bình"
184,0,0,"0,0","Chơn Thành,Bình Phước"
185,105.6247895,18.9087391,"105.6247895,18.9087391","Diễn Châu,Nghệ An"
186,0,0,"0,0","Ngọc Lặc,Thanh Hóa"
187,105.8942562,21.3060659,"105.8942562,21.3060659","Sóc Sơn,Hà Nội."
188,105.5061683,19.2059979,"105.5061683,19.2059979","Quỳnh Lưu,Nghệ An"
189,0,0,"0,0","Hoàng Mai,Hà Nội"
190,105.7785824,21.0448854,"105.7785824,21.0448854","Đông Hưng,Th"
191,105.7334606,18.7299749,"105.7334606,18.7299749","Nghi Lộc,Nghệ An"
192,105.6925703,9.417712341,"105.69257030511842,9.4177123406033","Thạnh Trị,Sóc Trăng"
193,0,0,"0,0","Cầu Giấy,Hà Nội"
194,0,0,"0,0","Tiên Du,Bắc Ninh"
195,106.8893973,11.4816092,"106.8893973,11.4816092","Đồng Xoài,Bình Phước"
196,0,0,"0,0","Vĩnh Bảo,Hải Phòng"
197,0,0,"0,0","Phú Xuyên,Hà Nội"
198,0,0,"0,0","Diễn Châu,Nghệ An"
199,0,0,"0,0","Ba Đình,Hà Nội"
200,0,0,"0,0","Ba Vì,Hà Nội"
201,0,0,"0,0","Lệ Thủy,Quảng Bình"
202,0,0,"0,0","Thanh Hóa,Thanh Hóa"
203,106.580074,10.83127885,"106.58007397692383,10.831278849515545","Kiến Xương,Thái Bình"
204,0,0,"0,0","Hoài Đức,Hà Nội"
205,106.7285619,10.7867781,"106.7285619,10.7867781","Gio Linh,Quảng Trị"
206,106.2912059,20.90705053,"106.2912058639675,20.907050527991476","Hải Dương,Hải Dương"
207,108.2239628,16.0711186,"108.2239628,16.0711186","Cẩm Lệ,Đà Nẵng"
208,106.3320539,20.4412055,"106.3320539,20.4412055","Thái Bình,Thái Bình"
209,106.6842942,20.86038394,"106.68429416228,20.86038393982816","Ngô Quyền,Hải Phòng"
210,105.6557457,18.73160346,"105.65574568083368,18.73160345872264","Hà Tĩnh,Hà Tĩnh"
211,0,0,"0,0","Bắc Ninh,Bắc Ninh"
212,0,0,"0,0","Lấp Vò,Đồng Tháp"
213,0,0,"0,0","Bình Thạnh,Hồ Chí Minh"
214,105.8137181,21.0412424,"105.8137181,21.0412424","Ba Đình,Hà Nội"
215,105.8022593,20.97297297,"105.80225927447694,20.972972972972972","Yên Thế,Bắc Giang"
216,105.6974286,20.920011,"105.6974286,20.920011","Chương Mỹ,Hà Nội."
217,0,0,"0,0","Quốc Oai,Hà Nội"
218,0,0,"0,0","Phụng Hiệp,Hậu Giang"
219,0,0,"0,0","TXuân,Hà Nội"
220,0,0,"0,0","Quan Hóa,Thanh Hóa"
221,105.8118434,21.1740626,"105.8118434,21.1740626","Đông Anh,Hà Nội."
222,105.8446713,20.97958007,"105.84467126888336,20.97958006663953","Hoàng Mai,Hà Nội"
223,0,0,"0,0","Ba Vì,Hà Nội"
224,105.8341598,21.0277644,"105.8341598,21.0277644","Thị Xã Kinh Môn,Hải Dương"
225,105.6479263,21.01384358,"105.6479262644414,21.013843577206917","Quốc Oai,Hà Nội"
226,106.0990506,21.14092888,"106.0990505914385,21.140928884821534","Bắc Ninh,Bắc Ninh"
227,0,0,"0,0","Mang Yang,Gia Lai"
228,105.8083687,21.02796527,"105.80836874277932,21.027965271561293","Thường Tín,Hà Nội"
229,106.7570113,10.9281613,"106.7570113,10.9281613","Cẩm Thủy,Thanh Hóa"
230,107.0277106,10.988083,"107.0277106,10.988083","Trảng Bom,Đồng Nai"
231,0,0,"0,0","Nam Định,Nam Định"
232,106.7285419,10.7868359,"106.7285419,10.7868359","Gio Linh,Quảng Trị"
233,0,0,"0,0","Hoằng Hóa,Thanh Hóa"
235,106.8097845,10.8707,"106.8097845,10.8707","Tư Nghĩa,Quảng Ngãi"
236,105.8431239,20.98822823,"105.84312393673609,20.988228227753265","Đống Đa,Hà Nội"
237,0,0,"0,0","Văn Lâm,Hưng Yên"
239,105.7936465,21.0001625,"105.7936465,21.0001625","Thạch Thất,Hà Nội"
240,105.832462,20.9540758,"105.832462,20.9540758","Thạch Thất,Hà Nội"
241,106.8097442,10.87084967,"106.8097441910482,10.870849673052904","Bình Chánh,Hồ Chí Minh"
242,106.694626,10.8052186,"106.694626,10.8052186","Bình Thạnh,Hồ Chí Minh"
243,0,0,"0,0","Kiến Xương,Thái Bình"
244,106.8098928,10.8699217,"106.8098928,10.8699217","3,Hồ Chí Minh"
245,105.9548938,21.10729807,"105.95489375217095,21.10729806986511","Thị Xã Từ Sơn,Bắc Ninh"
246,105.7429015,9.4308043,"105.7429015,9.4308043","Thạnh Trị,Sóc Trăng"
247,106.7000658,10.77818717,"106.70006580483214,10.778187168748746","Tây Sơn,Bình Định"
248,105.7816576,20.987904,"105.7816576,20.987904","Bắc Ninh,Bắc Ninh"
249,105.7780654,20.99569539,"105.7780654131963,20.99569539118498","Hoàng Mai,Hà Nội"
250,0,0,"0,0","Đông Anh,Hà Nội"
251,0,0,"0,0","Định Quán,Đồng Nai"
252,106.333,20.9401,"106.333,20.9401","Hải Dương,Hải Dương"
253,105.8125212,21.04142789,"105.81252122338971,21.04142789327774","Bình Lục,Hà Nam"
254,0,0,"0,0","Chí Linh,Hải Dương"
255,105.8602228,21.01568918,"105.86022282616862,21.015689182199356","Thị Xã Hồng Lĩnh,Hà Tĩnh"
256,0,0,"0,0","Dầu Tiếng,Bình Dương"
257,105.7729507,21.06312548,"105.77295071640518,21.06312547811259","Bắc Từ Liêm,Hà Nội"
258,106.3366908,20.94015048,"106.33669078989614,20.940150480933312","Hải Dương,Hải Dương"
259,107.4262813,10.5585237,"107.4262813,10.5585237","Vũng Tàu,Bà Rịa - Vũng Tàu"
260,0,0,"0,0","Bắc Từ Liêm,Hà Nội"
261,0,0,"0,0","Nông Cống,Thanh Hóa"
262,106.62281,10.82384431,"106.62281000431895,10.823844312794746","12,Hồ Chí Minh"
263,106.707996,10.8002147,"106.707996,10.8002147","Q.1,Hồ Chí Minh"
264,0,0,"0,0","Long Biên,Hà Nội"
265,105.7037869,18.717197,"105.7037869,18.717197","Vinh,Nghệ An"
266,108.1018723,11.56788383,"108.10187234472265,11.567883834042544","Di Linh,Lâm Đồng"
267,0,0,"0,0","Cao Lãnh,Đồng Tháp"
268,0,0,"0,0","Q. PN,Hồ Chí Minh"
269,105.8071772,21.0524119,"105.8071772,21.0524119","Cầu Giấy,Hà Nội"
270,105.7820339,20.97777839,"105.78203394783749,20.977778389864962","Hà Đông,Hà Nội"
271,0,0,"0,0","Thị Xã Phú Thọ,Phú Thọ"
272,106.7255604,10.91595819,"106.72556040889559,10.915958193901709","Thuận An,Bình Dương"
273,106.0304574,21.16206317,"106.03045739796623,21.16206317184006","Bắc Ninh,Bắc Ninh"
274,104.1642029,21.13206211,"104.16420287824079,21.132062109201318","Mai Sơn,Sơn La"
275,106.6813087,10.82079431,"106.68130871002792,10.820794314026283","12,Hồ Chí Minh"
276,0,0,"0,0","Lục Nam,Bắc Giang"
277,106.1093376,11.30496,"106.1093376,11.30496","Tây Ninh,Tây Ninh"
278,105.8065726,20.94180339,"105.80657256029791,20.941803392370378","Liên Chiểu,Đà Nẵng"
279,106.6695496,10.81250362,"106.66954961038742,10.81250361941276","Gò Vấp,Hồ Chí Minh"
280,0,0,"0,0","Vũ Thư,Thái Bình"
281,105.8202703,21.00532215,"105.82027029369232,21.00532214521008","Đống Đa,Hà Nội"
282,105.799158,20.9639701,"105.799158,20.9639701","Ba Đồn,Quảng Bình"
283,0,0,"0,0","12,Hồ Chí Minh"
284,106.6737222,10.7526349,"106.6737222,10.7526349","12,Hồ Chí Minh"
285,106.8060503,10.8595346,"106.8060503,10.8595346","Long Xuyên,An Giang"
286,106.74763,10.8694287,"106.74763,10.8694287","Dĩ An,Bình Dương"
287,106.1879808,21.266432,"106.1879808,21.266432","Bắc Giang,Bắc Giang"
288,106.1267408,21.16054641,"106.12674078578566,21.160546406882002","Quế Võ,Bắc Ninh"
289,0,0,"0,0","Hoàng Mai,Hà Nội"
290,0,0,"0,0","Bảo Lâm,Lâm Đồng"
291,106.8101325,10.87085109,"106.81013251545173,10.870851094079775","Đồng Xuân,Phú Yên"
292,0,0,"0,0","Bảo Lâm,Lâm Đồng"
293,105.7985503,20.96169769,"105.79855025782591,20.961697686546476","Vinh,Nghệ An"
294,106.7734007,10.84772655,"106.77340073618248,10.84772655049494","Thủ Đức,Hồ Chí Minh"
295,106.006614,20.33049422,"106.00661403331783,20.330494218103517","Ý Yên,Nam Định"
296,106.8101159,10.87097997,"106.81011592428624,10.870979974171302","Trảng Bom,Đồng Nai"
297,106.6991616,10.764288,"106.6991616,10.764288","Hòa Thành,Tây Ninh"
298,106.0005798,20.94059037,"106.00057976733216,20.940590367303564","Văn Giang,Hưng Yên"
299,105.8129382,21.04165083,"105.81293824952431,21.0416508308052","Hải Hậu,Nam Định"
300,0,0,"0,0","Văn Giang,Hưng Yên"
301,106.000726,20.94044078,"106.00072596640894,20.940440777010114","Văn Giang,Hưng Yên"
302,107.0073223,20.95983827,"107.00732233303614,20.959838267260405","Hạ Long,Quảng Ninh"
303,108.3208108,15.8859333,"108.3208108,15.8859333","Hội An,Quảng Nam"
304,0,0,"0,0","Bình Đại,Bến Tre"
305,106.8394953,10.9670538,"106.8394953,10.9670538","Biên Hòa,Đồng Nai"
306,0,0,"0,0","Cao Bằng,Cao Bằng"
307,106.8102064,10.8704942,"106.8102064,10.8704942","12,Hồ Chí Minh"
308,105.7552795,21.03679811,"105.75527952661653,21.036798111199133","Thanh Oai,Hà Nội"
309,106.3101664,10.9002467,"106.3101664,10.9002467","Đức Huệ,Long An"
310,0,0,"0,0","Tiên Lãng,Hải Phòng"
311,0,0,"0,0","Phù Cừ,Hưng Yên"
312,106.7620831,11.07184916,"106.76208305274193,11.071849159795704","Thị Xã Tân Uyên,Bình Dương"
313,106.6541379,10.7916696,"106.6541379,10.7916696","Tân Phú,Hồ Chí Minh"
314,0,0,"0,0","Bình Sơn,Quảng Ngãi"
315,105.8155,21.2523,"105.8155,21.2523","Long Biên,Hà Nội"
316,105.976613,21.3477115,"105.976613,21.3477115","Hiệp Hòa,Bắc Giang"
317,106.6949016,10.8052677,"106.6949016,10.8052677","Bình Tân,Hồ Chí Minh"
318,0,0,"0,0","Hai Bà Trưng,Hà Nội"
319,0,0,"0,0","Khoái Châu,Hưng Yên"
320,105.8127339,21.0412696,"105.8127339,21.0412696","Việt Trì,Phú Thọ"
321,106.6597,10.7625,"106.6597,10.7625","8,Hồ Chí Minh"
322,0,0,"0,0","Hậu Lộc,Thanh Hóa"
323,106.3676456,10.35962955,"106.36764555360062,10.359629550989387","Mỹ Tho,Tiền Giang"
324,105.8531975,21.15315315,"105.85319752985217,21.153153153153152","Đông Anh,Hà Nội"
325,0,0,"0,0","Tiên Du,Bắc Ninh"
326,106.0948244,21.20276078,"106.0948244085518,21.202760777450806","Bắc Ninh,Bắc Ninh"
327,0,0,"0,0","Việt Trì,Phú Thọ"
328,0,0,"0,0","Hai Bà Trưng,Hà Nội"
329,105.8704202,21.0460846,"105.87042024748547,21.046084596723663","Long Biên,Hà Nội"
330,106.6817842,10.7674309,"106.6817842,10.7674309","3,Hồ Chí Minh"
331,106.6657141,10.77635393,"106.66571414695275,10.776353931891972","Phong Điền,Cần Thơ"
332,0,0,"0,0","Đà Lạt,Lâm Đông"
333,105.9385966,20.9523581,"105.93859659178825,20.952358098034665","Long Biên,Hà Nội"
334,105.6557474,18.7315581,"105.65574739001755,18.731558104206016","Kỳ Sơn,Nghệ An"
335,106.6909506,10.73605413,"106.69095063822014,10.736054126582891","Bình Chánh,Hồ Chí Minh"
336,105.8568846,21.0223625,"105.8568846,21.0223625","Thái Bình,Thái Bình"
337,0,0,"0,0","Phú Nhuận,Hồ Chí Minh"
338,109.0426196,14.5558155,"109.0426196,14.5558155","Hoài Nhơn,Bình Định"
339,106.1084548,11.1849679,"106.1084548,11.1849679","Bến Cầu,Tây Ninh"
340,0,0,"0,0","Bình Thạnh,Hồ Chí Minh"
341,0,0,"0,0","Nông Cống,Thanh Hóa"
342,0,0,"0,0","Thuỷ Nguyên,Hải Phòng"
343,105.6442543,10.45553641,"105.64425425962239,10.455536413212576","Cao Lãnh,Đồng Tháp"
344,0,0,"0,0","Mỹ Tho,Tiền Giang"
345,106.6497323,10.8444514,"106.6497323,10.8444514","Pleiku,Gia Lai"
346,0,0,"0,0","Nhà Bè,Hồ Chí Minh"
347,106.8102389,10.8704759,"106.8102389,10.8704759","Thị Xã Buôn Hồ,Đắk Lắk"
348,105.6557257,18.73158689,"105.65572568226158,18.731586885133456","Can Lộc,Hà Tĩnh"
349,0,0,"0,0","Trực Ninh,Nam Định"
350,105.8454839,21.034749,"105.8454839,21.034749","Thị Xã Sơn Tây,Hà Nội"
351,106.3452672,20.938752,"106.3452672,20.938752","Hải Dương,Hải Dương"
352,106.1033717,20.6453711,"106.1033717,20.6453711","Tiên Lữ,Hưng Yên"
353,0,0,"0,0","Văn Giang,Hưng Yên"
354,105.7726004,21.0808876,"105.7726004,21.0808876","Bắc Từ Liêm,Hà Nội"
355,0,0,"0,0","Thị Xã Duy Tiên,Hà Nam"
356,106.6443015,10.764628,"106.6443015,10.764628","Cai Lậy,Tiền Giang"
357,106.9471156,10.94085581,"106.94711557429939,10.940855810821727","Trắng Bom,Đồng Nai"
358,0,0,"0,0","Đống Đa,Hà Nội"
359,105.8003333,20.9913707,"105.8003333,20.9913707","Thanh Trì,Hà Nội"
360,106.6139172,10.7523888,"106.6139172,10.7523888","Bình Tân,Hồ Chí Minh"
361,0,0,"0,0","Nghi Xuân,Hà Tĩnh"
362,0,0,"0,0","Việt Trì,Phú Thọ"
363,0,0,"0,0","Ba Tri,Bến Tre"
364,106.2798367,20.154652,"106.27983665517095,20.15465200188957","Hải Hậu,Nam Định"
365,106.765467,10.77839026,"106.76546698532803,10.778390259756529","2,Hồ Chí Minh"
366,106.0993025,20.1152547,"106.0993025,20.1152547","Kim Sơn,Ninh Bình"
